Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,3227.000000,3227.000000,3170.000000,3220.000000,3220.000000,226
2015-01-05,3172.000000,3172.000000,3115.000000,3115.000000,3115.000000,3635
2015-01-06,3114.530029,3139.000000,3090.840088,3139.000000,3139.000000,625
2015-01-07,3164.000000,3169.000000,3099.000000,3099.000000,3099.000000,47007
2015-01-08,3118.000000,3130.000000,3087.399902,3093.659912,3093.659912,76632
2015-01-09,3050.000000,3050.000000,2999.280029,3016.000000,3016.000000,30082
2015-01-12,2943.580078,2971.000000,2933.989990,2935.000000,2935.000000,2525
2015-01-13,3006.860107,3007.360107,2943.580078,2980.000000,2980.000000,9496
2015-01-14,2850.000000,2850.000000,2765.000000,2793.310059,2793.310059,796
2015-01-15,2826.739990,2826.739990,2771.449951,2811.050049,2811.050049,3128
2015-01-16,2812.000000,2812.000000,2812.000000,2812.000000,2812.000000,52
2015-01-19,2812.000000,2812.000000,2812.000000,2812.000000,2812.000000,0
2015-01-20,2827.000000,2827.000000,2754.000000,2817.449951,2817.449951,36478
2015-01-21,2853.649902,2919.000000,2853.649902,2907.000000,2907.000000,245
2015-01-22,2950.000000,2950.000000,2884.830078,2948.969971,2948.969971,751
2015-01-23,2978.770020,2978.770020,2946.000000,2961.909912,2961.909912,1718
2015-01-26,3000.000000,3019.699951,3000.000000,3013.370117,3013.370117,2644
2015-01-27,3019.860107,3024.000000,2988.100098,3012.000000,3012.000000,876
2015-01-28,2999.550049,2999.550049,2939.600098,2942.889893,2942.889893,1373
2015-01-29,2970.000000,3021.000000,2970.000000,3021.000000,3021.000000,439
2015-01-30,3099.699951,3099.699951,3076.739990,3086.000000,3086.000000,1281
2015-02-03,3100.000000,3227.000000,3100.000000,3227.000000,3227.000000,2015
2015-02-04,3234.000000,3240.000000,3219.399902,3239.919922,3239.919922,1623
2015-02-05,3280.000000,3317.000000,3275.000000,3275.000000,3275.000000,1833
2015-02-06,3316.899902,3316.899902,3259.459961,3259.459961,3259.459961,155
2015-02-09,3220.300049,3220.300049,3220.300049,3220.300049,3220.300049,11
2015-02-10,3250.560059,3300.000000,3250.560059,3275.879883,3275.879883,254
2015-02-11,3155.209961,3215.000000,3145.100098,3214.429932,3214.429932,6485
2015-02-12,2950.000000,3020.000000,2949.000000,3018.060059,3018.060059,4433
